Date,Day,Stratum,StartLatitude,StartLongitude,StationCode,Region,SubRegion,TimeStart,EC,AvgTemp,AvgTurbidity,AvgSecchi,AvgStartDepth,Method,NumberTows,TowDuration,TowDirection,Species,Catch,FL_Range,Expression,Stage,Mark
12/5/2022,Monday,Sac Deep Water Shipping Channel,38.40553,-121.6151,23-19-SSC01,North,Lower Sacramento River Shipping Channel,9:13,476.35,10,76.35,0.2,8.85,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/5/2022,Monday,Sac Deep Water Shipping Channel,38.2044,-121.65727,23-19-SSC02,North,Lower Sacramento River Shipping Channel,12:27,168.73,9.92,6.61,1.8,14.38,Kodiak,4,8,D,n/p,n/p,n/p,n/p,n/p,n/p
12/5/2022,Monday,Sac Deep Water Shipping Channel,38.34413,-121.64374,23-19-SSC03,North,Lower Sacramento River Shipping Channel,10:44,950.75,10.1,44.43,0.31,10.93,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/5/2022,Monday,Southern Delta,38.05464,-121.63904,23-19-SD04,South,Franks Tract,12:22,2276.25,10.72,16.05,0.69,8.03,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/5/2022,Monday,Southern Delta,38.04511,-121.61212,23-19-SD06,South,Franks Tract,12:20,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/5/2022,Monday,Southern Delta,38.01092,-121.5113,23-19-SD03,South,Mildred Island West,9:28,487.92,10.53,3.15,1.8,6.22,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/5/2022,Monday,Southern Delta,38.02043,-121.51915,23-19-SD05,South,Mildred Island West,10:48,489.33,10.6,4.23,1.8,10.2,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/5/2022,Monday,Suisun Bay,38.06751,-121.84358,23-19-SB01,West,Confluence,10:07,10756,10.88,19.52,0.65,7.68,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/5/2022,Monday,Suisun Bay,38.04648,-121.86845,23-19-SB02,West,Confluence,12:06,16262,11,37.82,0.45,3.92,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/5/2022,Monday,Suisun Bay,38.05164,-121.88024,23-19-SB05,West,Confluence,8:46,10780.5,10.8,23.17,0.54,14.43,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/6/2022,Tuesday,Southern Delta,37.93955,-121.55091,23-19-SD01,South,Old River,8:08,582.5,10.3,2.67,1.8,4,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/6/2022,Tuesday,Southern Delta,37.95938,-121.56484,23-19-SD02,South,Old River,9:23,648.5,10.3,3.11,1.8,7.7,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/6/2022,Tuesday,Suisun Bay,38.06358,-122.05463,23-19-SB03,Far West,West Suisun Bay,8:41,20888.25,10.8,18.23,0.61,5.18,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/6/2022,Tuesday,Suisun Bay,38.07034,-122.08983,23-19-SB04,Far West,West Suisun Bay,10:16,26413.75,11.03,24.2,0.44,8.3,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/6/2022,Tuesday,Suisun Bay,38.05275,-122.05491,23-19-SB06,Far West,West Suisun Bay,9:55,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/7/2022,Wednesday,Lower Sacramento,38.05916,-121.79996,23-19-LSR01,West,Lower Sacramento River,10:50,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/7/2022,Wednesday,Lower Sacramento,38.06974,-121.83398,23-19-LSR02,West,Lower Sacramento River,8:18,7673.5,10.6,18.75,0.68,7.25,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/7/2022,Wednesday,Lower Sacramento,38.06287,-121.82359,23-19-LSR05,West,Lower Sacramento River,9:31,5813.75,10.38,17.35,0.62,10.72,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/7/2022,Wednesday,Lower Sacramento,38.06997,-121.77128,23-19-LSR06,West,Lower Sacramento River,11:01,3815.25,10.32,16.62,0.71,8.68,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/7/2022,Wednesday,Lower San Joaquin,38.09234,-121.5774,23-19-LSJ01,South,San Joaquin at Prisoners Point,9:11,472.55,10.42,6.25,1.66,9.6,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/7/2022,Wednesday,Lower San Joaquin,38.07245,-121.5633,23-19-LSJ02,South,San Joaquin at Prisoners Point,7:56,486,10.28,5.02,1.75,10.43,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/7/2022,Wednesday,Lower San Joaquin,38.09658,-121.58155,23-19-LSJ05,South,San Joaquin at Prisoners Point,10:17,430.85,10.4,5.64,1.75,14.07,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/7/2022,Wednesday,Suisun Marsh,38.11017,-122.05618,23-19-SM06,West,Grizzly Bay,12:13,24993.5,10.97,56.1,0.32,4.12,Kodiak,4,10,D,LFS,3,72-85,n/p,n/p,None
12/7/2022,Wednesday,Suisun Marsh,38.12677,-122.05997,23-19-SM04,West,Suisun Marsh,10:47,21047.25,10.55,45.23,0.38,4.47,Kodiak,4,10,D,LFS,16,63-110,n/p,n/p,None
12/7/2022,Wednesday,Suisun Marsh,38.13562,-122.08259,23-19-SM05,West,Suisun Marsh,8:55,17462.5,10.03,53.05,0.29,6.35,Kodiak,4,10,D,LFS,46,63-96,n/p,n/p,None
12/8/2022,Thursday,Lower San Joaquin,38.0233,-121.77161,23-19-LSJ03,West,Lower San Joaquin River,12:09,4915,10.72,16.38,0.69,6.4,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/8/2022,Thursday,Lower San Joaquin,38.03746,-121.70271,23-19-LSJ04,West,Lower San Joaquin River,9:36,2073,10.5,10.9,1.09,12.25,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
