"","release_type","End_date","Date","daystorecap","site","num_fish"
"1","hard",2022-11-30,2022-12-14,14,"Rio Vista",6556
"2","hard",2022-11-30,2023-01-07,38,"Rio Vista",6556
"3","hard",2023-01-19,2023-01-19,0,"Rio Vista",14524
"4","hard",2023-01-25,2023-01-26,1,"SDWSC",6755
"5","hard",2023-01-19,2023-01-27,8,"Rio Vista",14524
"6","soft",2023-01-26,2023-01-30,4,"SDWSC",6240
"7","hard",2023-01-19,2023-01-30,11,"Rio Vista",14524
"8","hard",2022-11-30,2023-01-30,61,"Rio Vista",6556
"9","soft",2023-01-26,2023-01-31,5,"SDWSC",6240
"10","hard",2023-01-25,2023-02-01,7,"SDWSC",6755
"11","hard",2023-01-25,2023-02-01,7,"SDWSC",6755
"12","hard",2023-01-25,2023-02-01,7,"SDWSC",6755
"13","hard",2023-01-25,2023-02-01,7,"SDWSC",6755
"14","hard",2023-01-25,2023-02-02,8,"SDWSC",6755
"15","soft",2023-01-26,2023-02-03,8,"SDWSC",6240
"16","soft",2023-01-26,2023-02-03,8,"SDWSC",6240
"17","soft",2023-01-26,2023-02-03,8,"SDWSC",6240
"18","hard",2023-01-25,2023-02-07,13,"SDWSC",6755
"19","hard",2023-01-19,2023-02-08,20,"Rio Vista",14524
"20","hard",2023-01-25,2023-02-08,14,"SDWSC",6755
"21","hard",2023-01-19,2023-02-08,20,"Rio Vista",14524
"22","hard",2023-01-19,2023-02-12,24,"Rio Vista",14524
"23","hard",2023-01-19,2023-02-13,25,"Rio Vista",14524
"24","hard",2023-01-19,2023-02-13,25,"Rio Vista",14524
"25","soft",2023-01-26,2023-02-14,19,"SDWSC",6240
"26","hard",2023-01-19,2023-02-14,26,"Rio Vista",14524
"27","soft",2023-01-26,2023-02-15,20,"SDWSC",6240
"28","soft",2023-01-26,2023-02-17,22,"SDWSC",6240
"29","hard",2023-01-19,2023-02-17,29,"Rio Vista",14524
"30","soft",2023-01-26,2023-02-19,24,"SDWSC",6240
"31","hard",2023-01-19,2023-02-22,34,"Rio Vista",14524
"32","hard",2023-01-25,2023-02-22,28,"SDWSC",6755
"33","soft",2023-01-26,2023-02-24,29,"SDWSC",6240
"34","hard",2023-01-25,2023-03-02,36,"SDWSC",6755
"35","hard",2023-01-19,2023-03-02,42,"Rio Vista",14524
"36","hard",2023-01-25,2023-03-07,41,"SDWSC",6755
"37","hard",2023-01-25,2023-03-08,42,"SDWSC",6755
"38","hard",2023-01-25,2023-03-08,42,"SDWSC",6755
"39","soft",2023-01-26,2023-03-21,54,"SDWSC",6240
